commute_route,daily_km,flights_per_year,transport_co2_kg,pc_type,gaming_hours,study_hours,phone_model,phone_charges_day,heating_type,tech_co2_kg,dj_hours_day,board_games_month,streaming_hours,recycling_habit,shower_minutes,pets,housework_freq,lifestyle_co2_kg,clothing_items_month,fashion_style,perfume_shipping,fashion_co2_kg,diet_type,coffee_cups_day,smoker,food_delivery,plastic_water,diet_co2_kg,total_daily_co2_kg
Personal Car (Hybrid),5.9,0,0.649,Mid-Range Gaming Laptop,6.1,3.9,Mid-Range Phone (4500 mAh),3,Apartment (Electric),4.372,0.0,1,4.6,Sometimes,7.0,None,Low (1-2 cycles/wk),0.727,11,Fast Fashion,Never,5.5,Moderate Meat,4,No,Rarely (1-2/month),Tap / Filtered (0),5.565,16.812
Bus Only,34.4,1,4.297,Mid-Range Gaming Laptop,9.9,3.7,Flagship Phone (5000 mAh),1,Apartment (Electric),4.547,0.0,2,4.3,Sometimes,9.0,None,Medium (3-4 cycles/wk),1.22,2,Fast Fashion,Frequently (monthly),1.014,Heavy Meat Eater,1,No,Sometimes (1-2/week),1-2 bottles/day,7.18,18.257
Electric Scooter / E-Bike,10.6,1,0.844,High-End Gaming Laptop,2.7,5.4,Mid-Range Phone (4500 mAh),1,Dormitory (Shared),2.043,0.0,1,1.8,Never,11.0,None,Low (1-2 cycles/wk),1.473,3,Fast Fashion,Never,1.5,Moderate Meat,2,No,Sometimes (1-2/week),3-4 bottles/day,5.8,11.66
Personal Car (Gasoline),120.0,1,23.725,Desktop Gaming PC,4.2,3.3,Flagship Phone (5000 mAh),1,Dormitory (Shared),2.746,1.0,4,1.1,Sometimes,14.0,Cat (Indoor),Medium (3-4 cycles/wk),2.751,5,Minimal / Capsule,Sometimes (3-6/yr),1.255,Heavy Meat Eater,0,No,Sometimes (1-2/week),Tap / Filtered (0),7.0,37.477
Personal Car (Hybrid),13.2,0,1.452,Mid-Range Gaming Laptop,3.5,2.1,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),1.823,4.0,0,2.6,Sometimes,17.0,None,Low (1-2 cycles/wk),1.544,1,Streetwear / Heavy Denim,Never,0.65,Moderate Meat,0,No,Never,1-2 bottles/day,5.42,10.89
Metrobüs,8.7,4,3.305,Desktop Office PC,3.0,5.3,Flagship Phone (5000 mAh),1,Dormitory (Shared),1.902,0.0,3,5.4,Sometimes,10.0,None,Medium (3-4 cycles/wk),1.547,5,Vintage / Thrift,Rarely (1-2/yr),0.751,Vegetarian,3,No,Rarely (1-2/month),Tap / Filtered (0),3.705,11.21
Personal Car (Hybrid),11.1,1,1.906,Desktop Gaming PC,0.9,3.1,Mid-Range Phone (4500 mAh),1,Apartment (Natural Gas),4.868,2.0,0,4.0,Sometimes,19.0,None,Medium (3-4 cycles/wk),1.917,1,Fast Fashion,Frequently (monthly),0.514,Vegetarian,1,No,Never,3-4 bottles/day,3.84,13.045
Electric Scooter / E-Bike,5.5,1,0.767,High-End Gaming Laptop,0.1,2.5,Mid-Range Phone (4500 mAh),2,Apartment (Natural Gas),4.392,2.0,5,4.1,Never,17.0,Small Dog,Low (1-2 cycles/wk),4.013,1,Fast Fashion,Never,0.5,Vegetarian,4,No,Never,1-2 bottles/day,3.86,13.532
Personal Car (Gasoline),20.9,4,6.753,Desktop Gaming PC,1.1,7.2,Mid-Range Phone (4500 mAh),2,Dormitory (Shared),2.886,0.0,0,4.3,Strict Recycler,15.0,None,High (5+ cycles/wk),0.665,2,Minimal / Capsule,Sometimes (3-6/yr),0.505,Moderate Meat,2,Yes,Rarely (1-2/month),1-2 bottles/day,6.165,16.974
Bus Only,11.1,1,1.85,Standard Office Laptop,2.7,3.7,Flagship Phone (5000 mAh),1,Family Home (High Usage),6.647,1.0,0,3.6,Never,13.0,None,High (5+ cycles/wk),1.95,8,Minimal / Capsule,Frequently (monthly),2.014,Vegetarian,3,No,Sometimes (1-2/week),1-2 bottles/day,3.9,16.361
